leak_location,leak_size,length,flow_rate,velocity,pressure
51,1,0,55,5.3,75.76049818
51,1,25.5,53.275,5.3,75.76049818
51,1,81.5,52.584,5.247,75.00289319
51,1,168,50.807,5.247,75.00289319
51,1,280,48.456,5.247,75.00289319
51,1,392,46.038,5.247,75.00289319
51,1,504,43.548,5.247,75.00289319
51,1,616,40.978,5.247,75.00289319
51,1,728,38.322,5.247,75.00289319
51,1,840,35.571,5.247,75.00289319
51,1,952,32.713,5.247,75.00289319
51,1,1064,29.74,5.247,75.00289319
51,1,1176,26.637,5.247,75.00289319
51,1,1230,25,5.247,75.00289319
51,2,0,55,5.3,75.76049818
51,2,25.5,53.099,5.3,75.76049818
51,2,81.5,52.437,5.194,74.24528821
51,2,168,50.663,5.194,74.24528821
51,2,280,48.316,5.194,74.24528821
51,2,392,45.904,5.194,74.24528821
51,2,504,43.421,5.194,74.24528821
51,2,616,40.861,5.194,74.24528821
51,2,728,38.217,5.194,74.24528821
51,2,840,35.481,5.194,74.24528821
51,2,952,32.643,5.194,74.24528821
51,2,1064,29.695,5.194,74.24528821
51,2,1176,26.62,5.194,74.24528821
51,2,1230,25,5.194,74.24528821
51,5,0,55,5.3,75.76049818
51,5,25.5,52.537,5.3,75.76049818
51,5,81.5,51.954,5.035,71.97247327
51,5,168,50.191,5.035,71.97247327
51,5,280,47.863,5.035,71.97247327
51,5,392,45.474,5.035,71.97247327
51,5,504,43.018,5.035,71.97247327
51,5,616,40.493,5.035,71.97247327
51,5,728,37.891,5.035,71.97247327
51,5,840,35.205,5.035,71.97247327
51,5,952,32.427,5.035,71.97247327
51,5,1064,29.55,5.035,71.97247327
51,5,1176,26.565,5.035,71.97247327
51,5,1230,25,5.035,71.97247327
51,10,0,55,5.3,75.76049818
51,10,25.5,51.448,5.3,75.76049818
51,10,81.5,50.969,4.77,68.18444836
51,10,168,49.213,4.77,68.18444836
51,10,280,46.897,4.77,68.18444836
51,10,392,44.518,4.77,68.18444836
51,10,504,42.039,4.77,68.18444836
51,10,616,39.514,4.77,68.18444836
51,10,728,36.828,4.77,68.18444836
51,10,840,34.382,4.77,68.18444836
51,10,952,31.864,4.77,68.18444836
51,10,1064,29.243,4.77,68.18444836
51,10,1176,26.5,4.77,68.18444836
51,10,1230,25,4.77,68.18444836
51,15,0,55,5.3,75.76049818
51,15,25.5,50.969,5.3,75.76049818
51,15,81.5,50.122,4.505,64.39642345
51,15,168,48.405,4.505,64.39642345
51,15,280,46.111,4.505,64.39642345
51,15,392,43.688,4.505,64.39642345
51,15,504,41.467,4.505,64.39642345
51,15,616,39.196,4.505,64.39642345
51,15,728,36.85,4.505,64.39642345
51,15,840,34.421,4.505,64.39642345
51,15,952,31.896,4.505,64.39642345
51,15,1064,29.263,4.505,64.39642345
51,15,1176,26.508,4.505,64.39642345
51,15,1230,25,4.505,64.39642345
51,20,0,55,5.3,75.76049818
51,20,25.5,50.207,5.3,75.76049818
51,20,81.5,49.381,4.24,60.60839854
51,20,168,47.769,4.24,60.60839854
51,20,280,45.689,4.24,60.60839854
51,20,392,43.559,4.24,60.60839854
51,20,504,41.369,4.24,60.60839854
51,20,616,39.11,4.24,60.60839854
51,20,728,36.777,4.24,60.60839854
51,20,840,34.36,4.24,60.60839854
51,20,952,31.849,4.24,60.60839854
51,20,1064,29.233,4.24,60.60839854
51,20,1176,26.496,4.24,60.60839854
51,20,1230,25,4.24,60.60839854
51,25,0,55,5.3,75.76049818
51,25,25.5,49.471,5.3,75.76049818
51,25,81.5,48.694,3.975,56.82037363
51,25,168,47.119,3.975,56.82037363
51,25,280,45.091,3.975,56.82037363
51,25,392,43.016,3.975,56.82037363
51,25,504,40.882,3.975,56.82037363
51,25,616,38.685,3.975,56.82037363
51,25,728,36.415,3.975,56.82037363
51,25,840,34.067,3.975,56.82037363
51,25,952,31.63,3.975,56.82037363
51,25,1064,29.094,3.975,56.82037363
51,25,1176,26.445,3.975,56.82037363
51,25,1230,25,3.975,56.82037363
51,30,0,55,5.3,75.76049818
51,30,25.5,48.716,5.3,75.76049818
51,30,81.5,47.988,3.71,53.03234872
51,30,168,46.452,3.71,53.03234872
51,30,280,44.479,3.71,53.03234872
51,30,392,42.46,3.71,53.03234872
51,30,504,40.386,3.71,53.03234872
51,30,616,38.251,3.71,53.03234872
51,30,728,36.049,3.71,53.03234872
51,30,840,33.771,3.71,53.03234872
51,30,952,31.41,3.71,53.03234872
51,30,1064,28.954,3.71,53.03234872
51,30,1176,26.393,3.71,53.03234872
51,30,1230,25,3.71,53.03234872
